7-Zip 19.00 (x64),19.00
Cisco Packet Tracer 7.3.1 64Bit,
Git version 2.31.0,2.31.0
Microsoft Office Professional Plus 2019 - en-us,16.0.13901.20400
Microsoft Office Professional Plus 2019 - hu-hu,16.0.13901.20400
Riot Vanguard,
Apex Legends,
Microsoft .NET AppHost Pack - 5.0.4 (x64),40.16.29816
Microsoft .NET Core 2.1 Templates 5.0.201 (x64),8.23.48476
Microsoft .NET Toolset 5.0.201 (x64),20.3.32092
IntelliTraceProfilerProxy,15.0.18198.01
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219,10.0.40219
DiagnosticsHub_CollectionService,16.1.28901
Microsoft .NET AppHost Pack - 5.0.4 (x64_x86),40.16.29816
Microsoft Visual C++ 2019 X64 Additional Runtime - 14.28.29334,14.28.29334
Microsoft .NET Core Targeting Pack - 3.1.0 (x64),24.64.28315
Microsoft .NET Targeting Pack - 5.0.0 (x64),40.0.29419
Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030,11.0.61030
Microsoft .NET SDK 5.0.201 (x64) from Visual Studio,5.2.121.12316
Microsoft .NET Core AppHost Pack - 3.1.13 (x64_x86),24.116.29816
Microsoft .NET Core AppHost Pack - 3.1.13 (x64_arm),24.116.29816
Microsoft ASP.NET Core 5.0.4 Shared Framework (x64),5.0.4.21118
Microsoft .NET Core 5.0 Templates 5.0.201 (x64),20.3.15708
Microsoft .NET AppHost Pack - 5.0.4 (x64_arm),40.16.29816
Microsoft .NET Core AppHost Pack - 3.1.13 (x64),24.116.29816
Microsoft Visual Studio Installer,2.9.3365.38425
Microsoft Windows Desktop Targeting Pack - 3.1.0 (x64),24.64.28315
Microsoft .NET Host FX Resolver - 5.0.4 (x64),40.16.29816
Microsoft ASP.NET Core 5.0.0 Targeting Pack (x64),5.0.0.20526
Microsoft Windows Desktop Runtime - 5.0.4 (x64),40.16.29817
Microsoft .NET Runtime - 5.0.4 (x64),40.16.29816
Samsung NVM Express Driver 3.3.0.2003,3.3.0.2003
Microsoft Visual C++ 2019 X64 Minimum Runtime - 14.28.29334,14.28.29334
KMSpico,
Microsoft System CLR Types for SQL Server 2019 CTP2.2,15.0.1200.24
Office 16 Click-to-Run Licensing Component,16.0.13901.20400
Office 16 Click-to-Run Extensibility Component 64-bit Registration,16.0.13901.20336
Microsoft Update Health Tools,2.75.0.0
VS Script Debugging Common,16.0.102.0
Microsoft .NET Standard Targeting Pack - 2.1.0 (x64),24.0.28113
Microsoft ASP.NET Core 2.1.26 Shared Framework (x64),2.1.26.38097
NVIDIA Graphics Driver 466.11,466.11
NVIDIA GeForce Experience 3.22.0.32,3.22.0.32
NVIDIA Optimus Update 38.0.7.0,38.0.7.0
NVIDIA PhysX System Software 9.19.0218,9.19.0218
NVIDIA Update 38.0.7.0,38.0.7.0
NVIDIA FrameView SDK 1.1.4923.29781331,1.1.4923.29781331
NVIDIA SHIELD Streaming,7.1.29754594
NVIDIA HD Audio Driver 1.3.38.40,1.3.38.40
NVIDIA Install Application,2.1002.353.0
NVIDIA ABHub,14.3.61.0
NVIDIA Backend,38.0.7.0
NVIDIA Container,1.27
NVIDIA TelemetryApi helper for NvContainer,1.27
NVIDIA LocalSystem Container,1.27
NVIDIA Message Bus for NvContainer,1.27
NVAPI Monitor plugin for NvContainer,1.27
NVIDIA NetworkService Container,1.27
NVIDIA Session Container,1.27
NVIDIA User Container,1.27
NvModuleTracker,6.14.24370.22713
NVIDIA NodeJS,3.22.0.32
NVIDIA Watchdog Plugin for NvContainer,1.27
NVIDIA Telemetry Client,14.3.61.0
NVIDIA Virtual Host Controller,3.04.0.1
